,explanation,type,latency,match,label,row,prediction
0,"{'ltable_description': 0.0, 'ltable_id': -1.882596520638523e-32, 'ltable_name': -2.4266717299279172e-32, 'rtable_description': 5.986432243803658e-33, 'rtable_id': 9.822242716374903e-32, 'rtable_name': -2.845561492832141e-32, 'rtable_price': 9.62964972193618e-34}",mojito,2.387761416961439,0.0,0.0,445-910,[0.94196874 0.05803126]
1,"{'ltable_description': 1.8488927466117464e-32, 'ltable_id': 3.998230564547902e-31, 'ltable_name': 8.666684749742561e-32, 'rtable_id': 1.020742870525235e-31, 'rtable_name': 1.4473363532070077e-31}",mojito,2.7201471970183775,0.0,0.0,719-812,[0.91537622 0.08462378]
2,"{'ltable_description': 0.0, 'ltable_id': -1.0053354309701371e-31, 'ltable_name': -3.235562306570556e-32, 'rtable_description': -4.08297148210094e-32, 'rtable_id': -2.1262266586035084e-31, 'rtable_name': 2.0800043399382147e-32, 'rtable_price': 1.7410406697260612e-31}",mojito,2.2797368169995025,0.0,0.0,550-664,[0.95565308 0.04434692]
3,"{'ltable_description': -6.933347799794049e-33, 'ltable_id': 1.4781512323172035e-31, 'ltable_name': -1.3866695599588098e-32, 'rtable_description': 2.1570415377137042e-32, 'rtable_id': -8.685944049186434e-32, 'rtable_name': -1.4637067577342992e-32}",mojito,3.115778230014257,0.0,1.0,942-949,[0.94587847 0.05412153]
4,"{'ltable_description': 1.0785207688568521e-32, 'ltable_id': -8.050387167538646e-32, 'ltable_name': 1.1940765655200862e-32, 'ltable_price': -4.175416119431527e-31, 'rtable_description': 2.8696356171369815e-33, 'rtable_id': 2.6269684441441897e-31, 'rtable_name': 3.389636702121535e-32}",mojito,2.7878535800846294,0.0,0.0,643-636,[0.95978661 0.04021339]
5,"{'ltable_description': 0.0, 'ltable_id': 0.0, 'ltable_name': 0.0, 'rtable_description': 0.0, 'rtable_id': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.0}",mojito,2.600989182945341,0.0,0.0,495-578,[0.95131665 0.04868335]
6,"{'ltable_description': 0.0, 'ltable_id': 0.0, 'ltable_name': 0.0, 'rtable_description': 0.0, 'rtable_id': 0.0, 'rtable_name': 0.0}",mojito,2.179761528968811,0.0,0.0,994-336,[0.94929803 0.05070197]
7,"{'ltable_description': 0.0, 'ltable_id': 0.0, 'ltable_name': 0.0, 'rtable_id': 0.0, 'rtable_name': 0.0}",mojito,2.235673862043768,0.0,0.0,808-127,[0.95074893 0.04925107]
8,"{'ltable_description': 0.0, 'ltable_id': 0.0, 'ltable_name': 0.0, 'rtable_description': 0.0, 'rtable_id': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.0}",mojito,2.397275313967839,0.0,0.0,987-980,[0.94621041 0.05378959]
9,"{'ltable_description': 1.4637067577342992e-32, 'ltable_id': -1.1478542468547926e-31, 'ltable_name': -3.158525108795067e-32, 'rtable_description': 3.1007472104634497e-32, 'rtable_id': 1.89511506527704e-31, 'rtable_name': 2.643338848671481e-32, 'rtable_price': -1.502225356622044e-32}",mojito,2.3091097400756553,0.0,0.0,332-237,[0.95486738 0.04513262]
