,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,pioneer hd radio tuner gexp10hd,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.0017246681964024901,0.9982753318035975,"('ltable_name',)",['sony pink cyber-shot 7.2 megapixel digital camera dscw120p'],['pioneer hd radio tuner gexp10hd'],0@445 1@910 0@31906,2
1,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,"pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt , deh-p600ub , deh-p6000ub ` external",nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.0010359189473092556,0.9989640810526907,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","['pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt , deh-p600ub , deh-p6000ub ` external']",0@445 1@910 0@31906,2
2,,sirius dock and play universal vehicle kit supv1,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.001971145858988166,0.9980288541410118,"('ltable_name',)",['sony pink cyber-shot 7.2 megapixel digital camera dscw120p'],['sirius dock and play universal vehicle kit supv1'],0@445 1@910 0@31934,2
3,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sirius dock and play universal,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.11351162940263748,0.8864883705973625,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['sirius dock and play universal'],0@445 1@910 0@31934,2
5,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,capable,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.14824563264846802,0.851754367351532,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['capable'],0@445 1@910 0@31909,2
7,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sirius dock and play universal vehicle kit supv1,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.019854042679071426,0.9801459573209286,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['sirius dock and play universal vehicle kit supv1'],0@445 1@910 0@31940,2
9,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sirius dock and play universal vehicle,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.09598919749259949,0.9040108025074005,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['sirius dock and play universal vehicle'],0@445 1@910 0@31936,2
11,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sirius dock and play universal vehicle kit supv1 stereo,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.0341285839676857,0.9658714160323143,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['sirius dock and play universal vehicle kit supv1 stereo'],0@445 1@910 0@31942,2
13,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sirius dock and play universal vehicle kit supv1 stereo audio output,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.0764566957950592,0.9235433042049408,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['sirius dock and play universal vehicle kit supv1 stereo audio output'],0@445 1@910 0@31946,2
15,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sirius dock and play universal vehicle kit supv1 stereo audio output use with,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.07782720029354095,0.922172799706459,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['sirius dock and play universal vehicle kit supv1 stereo audio output use with'],0@445 1@910 0@31950,2
17,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sirius dock and play universal vehicle kit,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.11062726378440857,0.8893727362155914,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['sirius dock and play universal vehicle kit'],0@445 1@910 0@31938,2
19,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,control ' capable,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.20447967946529388,0.7955203205347061,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","[""control ' capable""]",0@445 1@910 0@31905,2
