,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Mammoth Brewing Company,Amber Ale,6.90 %,1
1,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,4.50 %,Jazz Beer Tarraco Amber,Scuttlebutt Brewing Co. .,Amber Ale,6.90 %,1
2,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,7.10 %,1
3,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Scuttlebutt Mateo Loco Imperial Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,7.40 %,0
4,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Altbier,8.79 %,1
5,Jazz Beer Tarraco Amber,Straight To Ale,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Sick N Twisted Brewing Company,Amber Ale,6.90 %,1
6,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,5.00 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,8.79 %,1
7,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,-,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,8.79 %,1
8,Jazz Beer Tarraco Amber,Rude Hippo Brewing Company,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,18th Street Brewery,Amber Ale,6.90 %,1
9,Jazz Beer Tarraco Amber,Straight To Ale,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Spice/Herb/Vegetable,6.90 %,0
