,explanation,type,latency,match,label,row,prediction
0,"{'ltable_Beer_Name': -0.4047558276709363, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': -0.2377050516543874, 'rtable_Style': 0.03204788110849521, 'rtable_ABV': -0.3612200814899793}",shap,1.866555931999983,0.0,0.0,1219-2470,[9.9990535e-01 9.4610819e-05]
1,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': -0.48939673469984024, 'ltable_Style': -0.48917480395757634, 'ltable_ABV': 0.0, 'rtable_Beer_Name': -0.48906538234674357, 'rtable_Brew_Factory_Name': 0.9849918386642824, 'rtable_Style': 0.0, 'rtable_ABV': -0.4891325466486156}",shap,1.6940274400000135,0.0,0.0,492-1635,[9.9999523e-01 4.7557146e-06]
2,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': -0.4897765975938825, 'ltable_Style': -0.39230776325834404, 'ltable_ABV': 0.6952336137538376, 'rtable_Beer_Name': -0.29417538975158863, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': -0.4907695144163158, 'rtable_ABV': 0.0}",shap,1.4175359270000172,0.0,1.0,3917-2224,[9.9997413e-01 2.5871428e-05]
3,"{'ltable_Beer_Name': -0.4877579961612356, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.49841379462624935, 'rtable_Brew_Factory_Name': -0.4838533851399552, 'rtable_Style': -0.49852303757215893, 'rtable_ABV': 0.0}",shap,1.476316757999939,0.0,0.0,2155-2948,[9.9999213e-01 7.9132851e-06]
4,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': -0.27094257913716124, 'ltable_ABV': -0.10075129715166997, 'rtable_Beer_Name': -0.3989521585926415, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': -0.1997130596153438}",shap,1.452338604999909,0.0,1.0,271-1410,[9.9913871e-01 8.6126494e-04]
5,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': -0.37099304640782066, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': -0.22847712731687353, 'rtable_Style': -0.3714970364619514, 'rtable_ABV': 0.0}",shap,1.4509379480000462,0.0,0.0,3309-716,[9.9991381e-01 8.6235355e-05]
6,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0024813123544055182, 'ltable_Style': 0.004109040754182003, 'ltable_ABV': 0.0, 'rtable_Beer_Name': -0.4849738861775437, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': -0.49339121400731367, 'rtable_ABV': 0.0}",shap,1.4775566309999704,0.0,0.0,1024-37,[9.999939e-01 6.114702e-06]
7,"{'ltable_Beer_Name': -0.3539083793653578, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': -0.23067878533691388, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': -0.3871529768791232, 'rtable_ABV': 0.0}",shap,1.576424874000054,0.0,1.0,1780-685,[9.9999845e-01 1.5781168e-06]
8,"{'ltable_Beer_Name': -0.2791636636499244, 'ltable_Brew_Factory_Name': -0.32354747200663053, 'ltable_Style': -0.3690985117700438, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0}",shap,1.4888537280000946,0.0,0.0,1479-1563,[9.9999464e-01 5.4151810e-06]
9,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': -0.3295641805306073, 'ltable_Style': 0.0, 'ltable_ABV': -0.33120597092062254, 'rtable_Beer_Name': 0.0021583793759346603, 'rtable_Brew_Factory_Name': -0.31109407181292814, 'rtable_Style': 0.0, 'rtable_ABV': 0.0}",shap,1.5165049080000017,0.0,0.0,2026-1679,[9.9993324e-01 6.6705135e-05]
