,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Red Rock Opie Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
1,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Pizza Port Rhino Chaser Imperial Red Ale,18th Street Brewery,Amber Ale,7.40 %,0
2,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Heist American Style Red Ale,18th Street Brewery,Amber Ale,7.40 %,0
3,Batch 200 _ `` Olympus Mons Imperial Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
4,Rock Bottom Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
5,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Baranof Island Redoubt Red Ale,18th Street Brewery,Amber Ale,7.40 %,0
6,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,18th Street Brewery,Amber Ale,7.40 %,0
7,Green Flash Hop Head Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
8,Honey Basil Amber,Granite Falls Brewing Co. .,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
9,Red Headed Slut Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
