,explanation,type,latency,match,label,row,prediction
0,"{'ltable_ABV': 4.073899212316356e-12, 'ltable_Beer_Name': -7.255568362811136e-13, 'ltable_Brew_Factory_Name': 2.828315188661572e-12, 'ltable_Style': -1.5538169890795016e-12, 'ltable_id': 8.147378966983333e-12, 'rtable_ABV': -7.738482138481319e-13, 'rtable_Beer_Name': 2.8437060096297114e-13, 'rtable_Brew_Factory_Name': 2.3537640505548894e-13, 'rtable_Style': -2.2508292275001877e-12, 'rtable_id': -1.4648878297733616e-12}",mojito,3.512232978013344,0.0,0.0,492-1635,[9.99604876e-01 3.95124458e-04]
1,"{'ltable_ABV': -0.006413691214284438, 'ltable_Beer_Name': -0.011496528708848201, 'ltable_Brew_Factory_Name': 0.01253134850930074, 'ltable_Style': -0.00940844710835563, 'ltable_id': -0.00491340185038653, 'rtable_ABV': -0.007197054395749903, 'rtable_Beer_Name': -0.006453351124309977, 'rtable_Brew_Factory_Name': -0.007194187637125468, 'rtable_Style': -0.006278532299293827}",mojito,3.274219990009442,1.0,1.0,3917-2224,[0.03485423 0.96514577]
2,"{'ltable_ABV': -0.014518842452804935, 'ltable_Beer_Name': -0.011984243226694682, 'ltable_Brew_Factory_Name': -0.005158078456492065, 'ltable_Style': -0.009381795177438569, 'rtable_ABV': -0.0013305126964135014, 'rtable_Beer_Name': -0.007253861420680678, 'rtable_Brew_Factory_Name': -0.00652289567084276, 'rtable_id': -0.008530370073881844}",mojito,3.283160248072818,1.0,1.0,271-1410,[0.15661526 0.84338474]
3,"{'ltable_ABV': 0.0, 'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_id': 0.0, 'rtable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_id': 0.0}",mojito,3.4145233419258147,0.0,0.0,3309-716,[9.99347996e-01 6.52003568e-04]
4,"{'ltable_ABV': 1.8500522337419488e-11, 'ltable_Beer_Name': -5.4728390459684095e-12, 'ltable_Brew_Factory_Name': 1.2982951452017325e-11, 'ltable_Style': -7.027928108412775e-12, 'ltable_id': 3.69753959211226e-11, 'rtable_ABV': -3.596747813371849e-12, 'rtable_Beer_Name': 1.1746379940797997e-12, 'rtable_Brew_Factory_Name': 6.662668348917486e-13, 'rtable_Style': -2.980138068131301e-11, 'rtable_id': -5.857415823631661e-12}",mojito,3.6008173499722034,0.0,0.0,1024-37,[0.99762032 0.00237968]
5,"{'ltable_ABV': -0.0019297308716815318, 'ltable_Beer_Name': -0.0021586938853880248, 'ltable_Brew_Factory_Name': -0.0022414115605411847, 'ltable_Style': -0.0028830255888999665, 'rtable_ABV': -0.0028915199319114464, 'rtable_Beer_Name': -0.0028956493661855803, 'rtable_Brew_Factory_Name': -0.004129047527260615}",mojito,3.3697745070094243,1.0,1.0,1780-685,[0.0506534 0.9493466]
6,"{'ltable_ABV': 3.134481015023002e-11, 'ltable_Beer_Name': -3.475454481331946e-12, 'ltable_Brew_Factory_Name': 1.1364446539143632e-11, 'ltable_Style': -6.298771166429805e-12, 'ltable_id': 3.3239482188783765e-11, 'rtable_ABV': -3.072582575540816e-12, 'rtable_Beer_Name': 1.0602855045573487e-12, 'rtable_Brew_Factory_Name': 5.171182545740044e-13, 'rtable_Style': -1.320250674499879e-11, 'rtable_id': -5.005628726167415e-12}",mojito,3.262764059007168,0.0,0.0,1479-1563,[0.99824529 0.00175471]
7,"{'ltable_ABV': 5.83814513950886e-12, 'ltable_Beer_Name': -8.623952322056228e-13, 'ltable_Brew_Factory_Name': 2.3886442185602695e-12, 'ltable_Style': -2.1897223618474117e-12, 'ltable_id': 1.150348392037456e-11, 'rtable_ABV': -1.089825788325842e-12, 'rtable_Beer_Name': 5.270524417332006e-13, 'rtable_Brew_Factory_Name': 3.576618442407016e-13, 'rtable_Style': -3.2300125005096597e-12, 'rtable_id': -1.9033740746514344e-12}",mojito,3.4701817330205813,0.0,0.0,2026-1679,[9.99557145e-01 4.42855206e-04]
8,"{'ltable_ABV': -1.4164528980367546e-34, 'ltable_Beer_Name': 8.495755897762164e-35, 'ltable_Brew_Factory_Name': 1.2555225625348283e-34, 'ltable_Style': 3.027079462692588e-35, 'ltable_id': -9.232914722476334e-35, 'rtable_ABV': -7.916818285676092e-35, 'rtable_Beer_Name': 1.8166291176211968e-34, 'rtable_Brew_Factory_Name': 4.640891333866974e-34, 'rtable_Style': 3.027915694204891e-34, 'rtable_id': 5.591401954821879e-34}",mojito,3.4781794659793377,0.0,0.0,525-433,[0.99820141 0.00179859]
9,"{'ltable_ABV': -0.00509599084456278, 'ltable_Beer_Name': -0.00529643162391547, 'ltable_Brew_Factory_Name': -0.00508616634937702, 'ltable_Style': -0.00684819559311722, 'rtable_ABV': -0.0063071875849690425, 'rtable_Beer_Name': -0.005103447989699169}",mojito,3.3342310960870236,1.0,0.0,4068-2374,[0.08392847 0.91607153]
