,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,label
0,Elevator ( feat . Timbaland ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],X Ambassadors,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"November 24 , 2014",1
1,Elevator ( feat . Timbaland ),David Guetta,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,10-Dec-13,Sound Of Letting Go ( Feat . Chris Willis ),Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"March 17 , 2008",1
2,Elevator ( feat . Timbaland ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],X Ambassadors,Mail On Sunday [ Explicit ],Alternative Rock,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"November 24 , 2014",1
3,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,10-Dec-13,Sound Of Letting Go ( Feat . Chris Willis ),Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"March 17 , 2008",1
4,Elevator ( feat . Timbaland ),Flo Rida,Flight School,"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],X Ambassadors,Mail On Sunday [ Explicit ],Alternative Rock,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"November 24 , 2014",1
5,VHS Outro ( Interlude ),X Ambassadors,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"August 21 , 2009",1
6,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",Album Only,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,10-Dec-13,Sound Of Letting Go ( Feat . Chris Willis ),Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"March 17 , 2008",1
7,Elevator ( feat . Timbaland ),Flo Rida,Flight School,"Dance , Music , Rock , House , Electronic , French Pop",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],X Ambassadors,Mail On Sunday [ Explicit ],Alternative Rock,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"November 24 , 2014",1
8,VHS Outro ( Interlude ),X Ambassadors,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,17-Mar-08,Missing You ( Feat . Novel ; Continuous Mix Version ),Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"August 21 , 2009",1
9,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",Album Only,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,10-Dec-13,Sound Of Letting Go ( Feat . Chris Willis ),Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Mad Decent,4:03,"March 17 , 2008",1
