,explanation,type,latency,match,label,row,prediction
0,"{'ltable_Album_Name': -4.622231866529366e-33, 'ltable_Artist_Name': -8.936314941956774e-32, 'ltable_CopyRight': -3.851859888774472e-33, 'ltable_Genre': 4.622231866529366e-33, 'ltable_Price': 1.8488927466117464e-32, 'ltable_Released': -2.6346721639217386e-31, 'ltable_Song_Name': 2.7733391199176196e-32, 'ltable_Time': 1.4232622289021673e-31, 'ltable_id': -2.311115933264683e-31, 'rtable_Album_Name': -9.244463733058732e-33, 'rtable_Artist_Name': -1.6948183510607676e-32, 'rtable_CopyRight': -5.546678239835239e-32, 'rtable_Genre': -2.7733391199176196e-32, 'rtable_Price': -2.253338034933066e-32, 'rtable_Released': 5.546678239835239e-32, 'rtable_Song_Name': 9.244463733058732e-33, 'rtable_Time': 2.1685971173800276e-31, 'rtable_id': 3.266377185680752e-31}",mojito,4.800802194979042,0.0,0.0,3505-30346,[0.94669684 0.05330316]
1,"{'ltable_Album_Name': -7.703719777548943e-33, 'ltable_Artist_Name': -2.5037089277034066e-32, 'ltable_CopyRight': 1.0785207688568521e-32, 'ltable_Genre': -2.0800043399382147e-32, 'ltable_Price': -3.2524141935839445e-32, 'ltable_Released': -1.910522504832138e-31, 'ltable_Song_Name': 6.162975822039155e-33, 'ltable_Time': -3.389636702121535e-32, 'ltable_id': 2.1570415377137042e-32, 'rtable_Album_Name': -7.703719777548943e-34, 'rtable_Artist_Name': -1.3866695599588098e-32, 'rtable_CopyRight': 7.703719777548943e-33, 'rtable_Genre': 1.0091872908589116e-31, 'rtable_Price': 3.928897086549961e-32, 'rtable_Released': 4.0444528832131953e-32, 'rtable_Song_Name': -3.0429693121318326e-32, 'rtable_Time': -1.3173360819608693e-31, 'rtable_id': 6.317050217590134e-32}",mojito,5.242263899999671,0.0,0.0,5343-47894,[0.87489374 0.12510626]
2,"{'ltable_Album_Name': 0.10508149455139376, 'ltable_CopyRight': 0.10063363199521877, 'ltable_Released': -0.11846576684968166, 'ltable_Song_Name': -0.1645862106877597, 'ltable_Time': 0.17987878588033857, 'rtable_Album_Name': -0.08370262031497683, 'rtable_Genre': 0.10732069108927204, 'rtable_Released': -0.056902945637717604, 'rtable_Song_Name': 0.008001940398860236, 'rtable_Time': 0.2139310781111508}",mojito,4.082145029096864,1.0,1.0,3354-17643,[0.01490384 0.98509616]
3,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': 0.0, 'ltable_Time': 0.0, 'ltable_id': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Time': 0.0, 'rtable_id': 0.0}",mojito,4.851178540964611,0.0,0.0,1268-34910,[0.97516838 0.02483162]
4,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': 0.0, 'ltable_Time': 0.0, 'ltable_id': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Time': 0.0, 'rtable_id': 0.0}",mojito,4.818755520973355,0.0,0.0,1176-34919,[0.94409213 0.05590787]
5,"{'ltable_Album_Name': 1.5407439555097887e-32, 'ltable_Artist_Name': -6.162975822039155e-33, 'ltable_CopyRight': 1.925929944387236e-34, 'ltable_Genre': 1.617781153285278e-32, 'ltable_Price': -5.315566646508771e-32, 'ltable_Released': 8.281498760865114e-32, 'ltable_Song_Name': -2.0703746902162785e-33, 'ltable_Time': -1.9451892438311082e-32, 'ltable_id': -5.700752635386218e-32, 'rtable_Album_Name': 8.474091755303838e-33, 'rtable_Artist_Name': -4.0059342843254506e-32, 'rtable_CopyRight': -8.474091755303838e-33, 'rtable_Genre': -9.629649721936179e-33, 'rtable_Price': -2.147411887991768e-32, 'rtable_Released': -5.862049268228649e-33, 'rtable_Song_Name': -3.274080905458301e-33, 'rtable_Time': 5.508159640947495e-32, 'rtable_id': 2.640931436240997e-32}",mojito,5.140660400968045,0.0,0.0,1156-28014,[0.95921762 0.04078238]
6,"{'ltable_Album_Name': -4.622231866529366e-33, 'ltable_Artist_Name': 1.4685215825952673e-32, 'ltable_CopyRight': 2.6963019221421302e-33, 'ltable_Genre': 0.0, 'ltable_Price': -1.1555579666323415e-32, 'ltable_Song_Name': 3.851859888774472e-33, 'ltable_Time': -1.1555579666323415e-33, 'ltable_id': -1.2711137632955757e-32, 'rtable_Album_Name': 3.9963046346035144e-33, 'rtable_Artist_Name': -1.887411345499491e-32, 'rtable_CopyRight': 0.0, 'rtable_Genre': -1.6948183510607676e-32, 'rtable_Price': 1.5407439555097887e-33, 'rtable_Released': -1.7333369499485123e-32, 'rtable_Song_Name': 6.162975822039155e-33, 'rtable_Time': 4.8533434598558343e-32, 'rtable_id': -1.3096323621833204e-32}",mojito,4.771494501968846,0.0,0.0,2718-17189,[0.9432987 0.0567013]
7,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': 0.0, 'ltable_Time': 0.0, 'ltable_id': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Time': 0.0, 'rtable_id': 0.0}",mojito,5.049423764110543,0.0,0.0,1164-28001,[0.97076544 0.02923456]
8,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': 0.0, 'ltable_Time': 0.0, 'ltable_id': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Time': 0.0, 'rtable_id': 0.0}",mojito,4.6397417390253395,0.0,0.0,271-53030,[0.92633683 0.07366317]
9,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': 0.0, 'ltable_Time': 0.0, 'ltable_id': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Time': 0.0, 'rtable_id': 0.0}",mojito,5.022045303951018,0.0,0.0,796-33113,[0.95460456 0.04539544]
