,label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
26,,Extra Extra Credit,Martin Solveig,Dance ( RED ) Save Lives [ Presented By TiÌÇsto ],"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.02844623662531376,0.9715537633746862,"('ltable_Artist_Name', 'ltable_Album_Name')","['Wiz Khalifa', 'Flight School']","['Martin Solveig', 'Dance ( RED ) Save Lives [ Presented By TiÌÇsto ]']",0@3354 1@17643 0@6373,2
27,,Sierra,Maddie & Tae,Flight School,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.22146134078502655,0.7785386592149734,"('ltable_Song_Name', 'ltable_Artist_Name')","['Extra Extra Credit', 'Wiz Khalifa']","['Sierra', 'Maddie & Tae']",0@3354 1@17643 0@6301,2
28,,Sierra,Wiz Khalifa,Start Here,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.46095606684684753,0.5390439331531525,"('ltable_Song_Name', 'ltable_Album_Name')","['Extra Extra Credit', 'Flight School']","['Sierra', 'Start Here']",0@3354 1@17643 0@6301,2
29,,Extra Extra Credit,Maddie & Tae,Start Here,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.09442569315433502,0.905574306845665,"('ltable_Artist_Name', 'ltable_Album_Name')","['Wiz Khalifa', 'Flight School']","['Maddie & Tae', 'Start Here']",0@3354 1@17643 0@6301,2
4,,The End ( Radio Edit ),Tommy Trash,Flight School,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.14684167504310608,0.8531583249568939,"('ltable_Song_Name', 'ltable_Artist_Name')","['Extra Extra Credit', 'Wiz Khalifa']","['The End ( Radio Edit )', 'Tommy Trash']",0@3354 1@17643 0@6374,2
5,,The End ( Radio Edit ),Wiz Khalifa,Dance ( RED ) Save Lives [ Presented By TiÌÇsto ],"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.0595453679561615,0.9404546320438385,"('ltable_Song_Name', 'ltable_Album_Name')","['Extra Extra Credit', 'Flight School']","['The End ( Radio Edit )', 'Dance ( RED ) Save Lives [ Presented By TiÌÇsto ]']",0@3354 1@17643 0@6374,2
6,,Extra Extra Credit,Tommy Trash,Dance ( RED ) Save Lives [ Presented By TiÌÇsto ],"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.027396123856306076,0.9726038761436939,"('ltable_Artist_Name', 'ltable_Album_Name')","['Wiz Khalifa', 'Flight School']","['Tommy Trash', 'Dance ( RED ) Save Lives [ Presented By TiÌÇsto ]']",0@3354 1@17643 0@6374,2
7,,Downside of Growing Up,Maddie & Tae,Flight School,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.4035695791244507,0.5964304208755493,"('ltable_Song_Name', 'ltable_Artist_Name')","['Extra Extra Credit', 'Wiz Khalifa']","['Downside of Growing Up', 'Maddie & Tae']",0@3354 1@17643 0@6306,2
8,,Downside of Growing Up,Wiz Khalifa,Start Here,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.3440026640892029,0.6559973359107971,"('ltable_Song_Name', 'ltable_Album_Name')","['Extra Extra Credit', 'Flight School']","['Downside of Growing Up', 'Start Here']",0@3354 1@17643 0@6306,2
12,,No Place Like You,Maddie & Tae,Flight School,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.08200020343065262,0.9179997965693474,"('ltable_Song_Name', 'ltable_Artist_Name')","['Extra Extra Credit', 'Wiz Khalifa']","['No Place Like You', 'Maddie & Tae']",0@3354 1@17643 0@6304,2
20,,The Night Out ( A-Trak Remix ),Wiz Khalifa,Dance ( RED ) Save Lives [ Presented By TiÌÇsto ],"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,4:03,"April 17 , 2009",0.002545809606090188,0.9974541903939098,"('ltable_Song_Name', 'ltable_Album_Name')","['Extra Extra Credit', 'Flight School']","['The Night Out ( A-Trak Remix )', 'Dance ( RED ) Save Lives [ Presented By TiÌÇsto ]']",0@3354 1@17643 0@6373,2
