,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony cyber-shot dsc-h50 digital camera black dsch50b,16:9 2.7 ' hybrid lcd,375.8,0.24765856564044952,0.7523413896560669,"('rtable_name',)",['sony handycam dcr-sr85 digital camcorder dcrsr85'],['sony cyber-shot dsc-h50 digital camera black dsch50b'],1@19215 0@495 1@578,2
29,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,119.0,0.27151551842689514,0.7284844517707825,"('rtable_price',)",[375.8],[119.0],1@15812 0@495 1@578,2
2,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,329.0,0.27151498198509216,0.7284849882125854,"('rtable_price',)",[375.8],[329.0],1@19215 0@495 1@578,2
3,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,samsung l200 digital camera black ec-l200zbba / us,16:9 2.7 ' hybrid lcd,375.8,0.2736401855945587,0.7263597846031189,"('rtable_name',)",['sony handycam dcr-sr85 digital camcorder dcrsr85'],['samsung l200 digital camera black ec-l200zbba / us'],1@15830 0@495 1@578,2
6,sony 60gb handycam hard disk drive camcorder dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.3041452169418335,0.6958548426628113,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony 60gb handycam hard disk drive camcorder dcrsr85'],0@35676 1@578 0@495,2
8,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.2715163230895996,0.7284837365150452,"('ltable_price',)",[nan],[nan],0@35676 1@578 0@495,2
12,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony cyber-shot dsc-h10 digital camera black dsch10/b,16:9 2.7 ' hybrid lcd,375.8,0.24750858545303345,0.7524914145469666,"('rtable_name',)",['sony handycam dcr-sr85 digital camcorder dcrsr85'],['sony cyber-shot dsc-h10 digital camera black dsch10/b'],1@15917 0@495 1@578,2
14,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,213.72,0.271539568901062,0.728460431098938,"('rtable_price',)",[375.8],[213.72],1@15917 0@495 1@578,2
18,sony high definition dvd handycam camcorder hdrux10,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.2734901010990143,0.7265098690986633,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony high definition dvd handycam camcorder hdrux10'],0@35824 1@578 0@495,2
24,sony 30gb handycam hard disk drive camcorder dcrsr45,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.3069170415401459,0.6930829882621765,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony 30gb handycam hard disk drive camcorder dcrsr45'],0@35402 1@578 0@495,2
