,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Oskar Blues British Knight Scotch Red Ale,Figure Eight Brewing,Barley Wine,-,0.006934591,0.99306536,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Oskar Blues British Knight Scotch Red Ale'],1@1380 0@1219 1@2470,2
20,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Americas American Red Ale,Figure Eight Brewing,Barley Wine,-,0.006301351,0.9936986,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Americas American Red Ale'],1@213 0@1219 1@2470,2
19,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,6.10 %,0.0066587203,0.99334127,"('rtable_ABV',)",['-'],['6.10 %'],1@1377 0@1219 1@2470,2
18,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Amber Ale,-,0.006775887,0.99322414,"('rtable_Style',)",['Barley Wine'],['Amber Ale'],1@1377 0@1219 1@2470,2
16,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bull & Barrel Urban Amber,Figure Eight Brewing,Barley Wine,-,0.004548706,0.9954513,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Bull & Barrel Urban Amber'],1@1377 0@1219 1@2470,2
7,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,8.70 %,0.0066565257,0.9933435,"('rtable_ABV',)",['-'],['8.70 %'],1@1009 0@1219 1@2470,2
6,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,American Strong Ale,-,0.0067825327,0.9932174,"('rtable_Style',)",['Barley Wine'],['American Strong Ale'],1@1009 0@1219 1@2470,2
4,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Oskar Blues G_Knight &#40; Apple Whiskey Barrel &#41;,Figure Eight Brewing,Barley Wine,-,0.007913241,0.9920867,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Oskar Blues G_Knight &#40; Apple Whiskey Barrel &#41;'],1@1009 0@1219 1@2470,2
3,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,7.40 %,0.006657162,0.9933428,"('rtable_ABV',)",['-'],['7.40 %'],1@1380 0@1219 1@2470,2
2,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Scottish Ale,-,0.006750532,0.99324954,"('rtable_Style',)",['Barley Wine'],['Scottish Ale'],1@1380 0@1219 1@2470,2
23,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0.0067614997,0.99323845,"('rtable_ABV',)",['-'],['-'],1@213 0@1219 1@2470,2
24,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Barrel Trolley Amber Ale,Figure Eight Brewing,Barley Wine,-,0.0038457816,0.99615425,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Barrel Trolley Amber Ale'],1@2019 0@1219 1@2470,2
38,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,6 %,0.0067140474,0.99328595,"('rtable_ABV',)",['-'],['6 %'],1@1836 0@1219 1@2470,2
35,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,One Barrel Wrenclaw Red Ale,Figure Eight Brewing,Barley Wine,-,0.0073992624,0.99260074,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['One Barrel Wrenclaw Red Ale'],1@1836 0@1219 1@2470,2
