,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Clifford 's Big Red Ale,Tarraco Beer,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,-,1
1,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,8.20 %,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,-,1
2,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,Spice/Herb/Vegetable,6.50 %,0
3,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,Altbier,8.79 %,1
4,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Brannon_s Deputation Imperial Red Ale,Big Island Brewhaus,American Strong Ale,-,0
5,Red Hopper ( Imperial Red Ale ),Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,Amber Ale,6.50 %,1
6,Twisted Stick Amber Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,4.50 %,0
7,Clifford 's Big Red Ale,Phillips Brewing Company,American Amber / Red Ale,7.40 %,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,6.50 %,0
8,Rocket City Red,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Sick N Twisted Brewing Company,American Strong Ale,6.50 %,0
9,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,6.90 %,Big Island Red Giant Ale,Scuttlebutt Brewing Co. .,American Strong Ale,6.50 %,0
