,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Red Headed Slut Amber Ale,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,0
1,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Laurelwood Organic Deranger Imperial Red Ale,18th Street Brewery,Imperial IPA,8.50 %,0
2,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Capitol City Amber Waves Ale,18th Street Brewery,Imperial IPA,8.50 %,0
3,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,Tighthead Brewing Company,Imperial IPA,8.50 %,0
4,Inception Series - Runnin ' With The Devil,Bainbridge Island Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,0
5,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,Big Bear Lake Brewing Company,Imperial IPA,8.50 %,0
6,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Rock Bottom La Jolla Ragtop Red Ale,18th Street Brewery,Imperial IPA,8.50 %,0
7,Rocky Point Red Ale,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,0
8,Batch 200 _ `` Olympus Mons Imperial Red Ale,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,0
9,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Baranof Island Redoubt Red Ale,18th Street Brewery,Imperial IPA,8.50 %,0
