,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Rocket City Red,Portneuf Valley Brewing,American Amber / Red Ale,6.90 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0
1,Rocket City Red,Portneuf Valley Brewing,American Amber / Red Ale,6.90 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,Amber Ale,-,0
2,Rocket City Red,Phillips Brewing Company,American Amber / Red Ale,-,Rude Hippo Honey Basil Amber,Big Island Brewhaus,Altbier,5.50 %,0
3,Rocket City Red,Phillips Brewing Company,American Amber / Red Ale,-,Rude Hippo Honey Basil Amber,Big Island Brewhaus,Altbier,6.90 %,0
4,Rocket City Red,Tarraco Beer,American Amber / Red Ale,6.90 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,Amber Ale,-,0
5,Rocket City Red,Tarraco Beer,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Brannon_s Pub and Brewery,Altbier,5.50 %,1
6,Honey Basil Amber,Tarraco Beer,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Mammoth Brewing Company,Amber Ale,5.50 %,0
7,Rocket City Red,Phillips Brewing Company,American Amber / Red Ale,-,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Altbier,-,0
8,Rocket City Red,Tarraco Beer,American Amber / Red Ale,6.90 %,Rude Hippo Honey Basil Amber,Big Island Brewhaus,Amber Ale,-,0
9,Rocket City Red,Oskar Blues Grill & Brew,American Amber / Red Ale,6.90 %,Rude Hippo Honey Basil Amber,Big Island Brewhaus,Amber Ale,4.90 %,0
