,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,label
0,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,One Love ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",4:03,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),Fetty Wap,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
1,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",4:03,17-Apr-09,Missing You ( Feat . Novel ; Continuous Mix Version ),David Guetta,Fetty Wap [ Clean ],Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
2,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,One Love ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",4:03,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),Fetty Wap,One Love ( Deluxe Version ),Dance & Electronic,$ 0.99,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
3,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",4:03,17-Apr-09,Missing You ( Feat . Novel ; Continuous Mix Version ),David Guetta,Fetty Wap [ Clean ],Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
4,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Flo Rida,Listen ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.99,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",4:03,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),David Guetta,VHS [ Explicit ],Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
5,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,One Love ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,2012 The Island Def Jam Music Group,4:03,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),Fetty Wap,One Love ( Deluxe Version ),Dance & Electronic,$ 0.99,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
6,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",4:03,17-Apr-09,Missing You ( Feat . Novel ; Continuous Mix Version ),David Guetta,Fetty Wap [ Clean ],Dance & Electronic,$ 0.99,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
7,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Flo Rida,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music",$ 1.99,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",4:03,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),David Guetta,VHS [ Explicit ],Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"August 21 , 2009",1
8,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,One Love ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,2012 The Island Def Jam Music Group,4:03,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),Fetty Wap,One Love ( Deluxe Version ),Dance & Electronic,$ 0.99,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:03,"February 14 , 2011",1
9,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],David Guetta,One Love ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,2012 The Island Def Jam Music Group,4:03,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),Fetty Wap,One Love ( Deluxe Version ),Dance & Electronic,$ 0.99,2013 Mad Decent,4:03,"February 14 , 2011",1
