,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,sony 60gb handycam hard disk drive camcorder dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.3041452169418335,0.6958548426628113,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony 60gb handycam hard disk drive camcorder dcrsr85'],0@35668 1@578 0@495,2
29,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,119.0,0.27151551842689514,0.7284844517707825,"('rtable_price',)",[375.8],[119.0],1@15812 0@495 1@578,2
2,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.2715163230895996,0.7284837365150452,"('ltable_price',)",[nan],[nan],0@35668 1@578 0@495,2
3,sony high definition hdv handycam camcorder hdrhc9,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.271595299243927,0.728404700756073,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony high definition hdv handycam camcorder hdrhc9'],0@33310 1@578 0@495,2
6,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,panasonic lumix dmc-fz28 digital camera black,16:9 2.7 ' hybrid lcd,375.8,0.3425208330154419,0.6574791669845581,"('rtable_name',)",['sony handycam dcr-sr85 digital camcorder dcrsr85'],['panasonic lumix dmc-fz28 digital camera black'],1@27758 0@495 1@578,2
8,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,nan,0.27147430181503296,0.7285256385803223,"('rtable_price',)",[375.8],[nan],1@27758 0@495 1@578,2
9,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,samsung l200 digital camera black ec-l200zbba / us,16:9 2.7 ' hybrid lcd,375.8,0.2736401855945587,0.7263597846031189,"('rtable_name',)",['sony handycam dcr-sr85 digital camcorder dcrsr85'],['samsung l200 digital camera black ec-l200zbba / us'],1@15826 0@495 1@578,2
12,sony high definition dvd handycam camcorder hdrux10,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0.2734901010990143,0.7265098690986633,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony high definition dvd handycam camcorder hdrux10'],0@35824 1@578 0@495,2
18,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,digital camera black,16:9 2.7 ' hybrid lcd,375.8,0.30772650241851807,0.6922735571861267,"('rtable_name',)",['sony handycam dcr-sr85 digital camcorder dcrsr85'],['digital camera black'],1@14060 0@495 1@578,2
27,sony cyber-shot black digital camera dsch10b,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,digital camera black ec-l200zbba / us,16:9 2.7 ' hybrid lcd,375.8,0.30750203132629395,0.692497968673706,"('rtable_name',)",['sony handycam dcr-sr85 digital camcorder dcrsr85'],['digital camera black ec-l200zbba / us'],1@15812 0@495 1@578,2
