,explanation,label,latency,match,prediction,row,type
0,"{'ltable_name': 0.0, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': -0.10184622079133987, 'rtable_price': 0.0}",0.0,18.66557274599836,0.0,[0.6469033  0.35309666],445-910,shap
1,"{'ltable_name': -0.04725939329465237, 'ltable_description': -0.0545868274966875, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': 0.0, 'rtable_price': 0.0}",0.0,20.751679963999777,0.0,[0.6469033  0.35309666],719-812,shap
2,"{'ltable_name': 0.17175361547867482, 'ltable_description': -0.12767881609002746, 'ltable_price': -0.12559194894631726, 'rtable_name': 0.0, 'rtable_description': 0.048517661144336005, 'rtable_price': 0.0}",0.0,21.799152158000652,0.0,[0.6469033  0.35309666],550-664,shap
3,"{'ltable_name': 0.0, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': -0.05555091653019196, 'rtable_price': -0.04629530426114791}",1.0,19.679740152001614,0.0,[0.6469033  0.35309666],942-949,shap
4,"{'ltable_name': -0.06513227019045088, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': -0.03671395060088899, 'rtable_price': 0.0}",0.0,20.29425089399956,0.0,[0.6469033  0.35309666],643-636,shap
5,"{'ltable_name': -0.058498031837599586, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': -0.043348188953740284, 'rtable_price': 0.0}",0.0,20.840385267001693,0.0,[0.6469033  0.35309666],495-578,shap
6,"{'ltable_name': -0.0744767894223332, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': 0.0, 'rtable_price': -0.027369431369006672}",0.0,16.999421741998958,0.0,[0.6469033  0.35309666],994-336,shap
7,"{'ltable_name': -0.056716067702932874, 'ltable_description': 0.0, 'ltable_price': -0.030442361513321917, 'rtable_name': -0.014687791575085082, 'rtable_description': 0.0, 'rtable_price': 0.0}",0.0,18.625266754999757,0.0,[0.6469033  0.35309666],808-127,shap
8,"{'ltable_name': 0.0, 'ltable_description': 0.0, 'ltable_price': -0.05267521579350743, 'rtable_name': 0.0, 'rtable_description': 0.0, 'rtable_price': -0.04917100499783244}",0.0,18.17489611700148,0.0,[0.6469033  0.35309666],987-980,shap
9,"{'ltable_name': 0.0, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': -0.038186808956993945, 'rtable_description': -0.04974741897649236, 'rtable_price': -0.013911992857853564}",0.0,19.569399315001647,0.0,[0.6469033  0.35309666],332-237,shap
