,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,pioneer hd radio tuner gexp10hd,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.023580657318234444,0.9764193426817656,"('ltable_name',)",['sony pink cyber-shot 7.2 megapixel digital camera dscw120p'],['pioneer hd radio tuner gexp10hd'],0@445 1@910 0@31889,2
1,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,", deh-p7000bt , deh-p600ub , deh-p6000ub ` external control ' capable",nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.1365353912115097,0.8634646087884903,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","["", deh-p7000bt , deh-p600ub , deh-p6000ub ` external control ' capable""]",0@445 1@910 0@31889,2
3,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,"pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt ,",nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.06156814098358154,0.9384318590164185,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","['pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt ,']",0@445 1@910 0@31896,2
5,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,"pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt , deh-p600ub , deh-p6000ub ` external control '",nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.0008928252500481904,0.9991071747499518,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","[""pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt , deh-p600ub , deh-p6000ub ` external control '""]",0@445 1@910 0@31910,2
7,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,"pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt ,",nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.047499027103185654,0.9525009728968143,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","['pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt ,']",0@445 1@910 0@31892,2
9,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,"pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt , deh-p600ub , deh-p6000ub ` external",nan,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,0.0009198704501613975,0.9990801295498386,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","['pioneer hd radio tuner gexp10hd compatible with fh-p800bt , fh-p8000bt , deh-p700bt , deh-p7000bt , deh-p600ub , deh-p6000ub ` external']",0@445 1@910 0@31906,2
10,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,olympus fe-360 digital camera pink 226540,audio,104.95,0.14595960080623627,0.8540403991937637,"('rtable_description',)","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]",['audio'],1@910 0@445 1@27465,2
12,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,olympus fe-360 digital camera pink 226540,link,104.95,0.17330367863178253,0.8266963213682175,"('rtable_description',)","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]",['link'],1@910 0@445 1@20026,2
14,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,olympus fe-360 digital camera pink 226540,"speakers , wireless rear speaker and viera link",104.95,0.005389097146689892,0.9946109028533101,"('rtable_description',)","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]","['speakers , wireless rear speaker and viera link']",1@910 0@445 1@20012,2
16,,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,olympus fe-360 digital camera pink 226540,viera link,104.95,0.11847780644893646,0.8815221935510635,"('rtable_description',)","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]",['viera link'],1@910 0@445 1@20024,2
