,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Bulleit Bourbon Barrel Aged G'Knight,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Altbier,6.90 %,1
1,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,4.90 %,1
2,Clifford 's Big Red Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Heavy Seas Brewing Company,Amber Ale,6.90 %,0
3,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.20 %,Mammoth Real McCoy Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
4,Rocket City Red,Tarraco Beer,American Amber / Red Ale,6.90 %,Sick N Twisted Pleasure Victim Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
5,Clifford 's Big Red Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
6,Aqula American Amber Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,Scuttlebutt Mateo Loco Imperial Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
7,Red Hopper ( Imperial Red Ale ),Tarraco Beer,American Amber / Red Ale,6.90 %,Sawdust City Red Rocket Coffee Spiced Stout,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
8,Honey Basil Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Sick N Twisted Pleasure Victim Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,1
9,Bulleit Bourbon Barrel Aged G'Knight,Phillips Brewing Company,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,1
