,explanation,label,latency,match,prediction,row,summary,type
0,"{'ltable_Beer_Name': 1.0, 'ltable_Brew_Factory_Name': 0.6764705882352942, 'ltable_Style': 0.5, 'ltable_ABV': 0.5588235294117647, 'rtable_Beer_Name': 0.29411764705882354, 'rtable_Brew_Factory_Name': 0.29411764705882354, 'rtable_Style': 0.29411764705882354, 'rtable_ABV': 0.29411764705882354}",0.0,33.61337585700676,0.0,[0.98341113 0.01658893],1219-2470,"{'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name': 0.5, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.0, 'rtable_Beer_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.2, 'ltable_Beer_Name/ltable_ABV': 0.2, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.3, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.5, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.2, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0}",certa
1,"{'ltable_Beer_Name': 0.44285714285714295, 'ltable_Brew_Factory_Name': 0.27142857142857146, 'ltable_Style': 0.27142857142857146, 'ltable_ABV': 0.27142857142857146, 'rtable_Beer_Name': 0.7, 'rtable_Brew_Factory_Name': 0.3571428571428571, 'rtable_Style': 0.3857142857142857, 'rtable_ABV': 0.3857142857142857}",0.0,31.923533121007495,0.0,[0.98341113 0.01658893],492-1635,"{'rtable_Beer_Name': 0.6, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name': 0.3, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.5, 'rtable_Beer_Name/rtable_Style': 0.6, 'rtable_Beer_Name/rtable_ABV': 0.6, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.3, 'ltable_Beer_Name/ltable_Style': 0.3, 'ltable_Beer_Name/ltable_ABV': 0.3, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.5, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.6, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.3, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.3, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.3, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0}",certa
2,"{'ltable_Beer_Name': 0.19767441860465115, 'ltable_Brew_Factory_Name': 0.27906976744186046, 'ltable_Style': 0.2558139534883721, 'ltable_ABV': 0.2558139534883721, 'rtable_Beer_Name': 0.5232558139534884, 'rtable_Brew_Factory_Name': 0.37209302325581395, 'rtable_Style': 0.441860465116279, 'rtable_ABV': 0.38372093023255816}",1.0,30.25804451100703,1.0,[0.41743445 0.58256555],3917-2224,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.4, 'ltable_Style': 0.3, 'ltable_ABV': 0.4, 'rtable_Beer_Name': 0.5, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.3, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.4, 'ltable_Beer_Name/ltable_Style': 0.2, 'ltable_Beer_Name/ltable_ABV': 0.1, 'ltable_Brew_Factory_Name/ltable_Style': 0.3, 'ltable_Brew_Factory_Name/ltable_ABV': 0.3, 'ltable_Style/ltable_ABV': 0.4, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.5, 'rtable_Beer_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style': 0.2, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.3, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.5, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.5}",certa
3,"{'ltable_Beer_Name': 0.6307692307692307, 'ltable_Brew_Factory_Name': 0.38461538461538464, 'ltable_Style': 0.35384615384615387, 'ltable_ABV': 0.35384615384615387, 'rtable_Beer_Name': 0.4461538461538462, 'rtable_Brew_Factory_Name': 0.3230769230769231, 'rtable_Style': 0.38461538461538464, 'rtable_ABV': 0.3076923076923077}",0.0,30.613652064988855,0.0,[0.98341113 0.01658893],2155-2948,"{'rtable_Beer_Name': 0.1, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name': 0.4, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.4, 'rtable_Beer_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.5, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.4, 'ltable_Beer_Name/ltable_ABV': 0.4, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.4, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.3, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.5, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.4, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0}",certa
4,"{'ltable_Beer_Name': 0.2037037037037037, 'ltable_Brew_Factory_Name': 0.18518518518518517, 'ltable_Style': 0.18518518518518517, 'ltable_ABV': 0.18518518518518517, 'rtable_Beer_Name': 0.8888888888888888, 'rtable_Brew_Factory_Name': 0.49999999999999994, 'rtable_Style': 0.5555555555555555, 'rtable_ABV': 0.5}",1.0,30.839738055001362,0.0,[0.9800193 0.0199808],271-1410,"{'rtable_Beer_Name': 0.5, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.5, 'rtable_ABV': 0.0, 'ltable_Beer_Name': 0.1, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.6, 'rtable_Beer_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_ABV': 0.6, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.0, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.6, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0}",certa
5,"{'ltable_Beer_Name': 0.8181818181818183, 'ltable_Brew_Factory_Name': 0.48484848484848486, 'ltable_Style': 0.48484848484848486, 'ltable_ABV': 0.4696969696969697, 'rtable_Beer_Name': 0.2121212121212121, 'rtable_Brew_Factory_Name': 0.2121212121212121, 'rtable_Style': 0.2121212121212121, 'rtable_ABV': 0.2121212121212121}",0.0,30.64499826300016,0.0,[0.8381644  0.16183564],3309-716,"{'ltable_Beer_Name': 0.6, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.1, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.1, 'rtable_Brew_Factory_Name': 0.1, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.7, 'ltable_Beer_Name/ltable_Style': 0.6, 'ltable_Beer_Name/ltable_ABV': 0.6, 'ltable_Brew_Factory_Name/ltable_Style': 0.1, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.1, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.0, 'rtable_Beer_Name/rtable_Style': 0.1, 'rtable_Beer_Name/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style': 0.1, 'rtable_Brew_Factory_Name/rtable_ABV': 0.1, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.6, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.7, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.6, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.1, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.1}",certa
6,"{'ltable_Beer_Name': 0.5833333333333333, 'ltable_Brew_Factory_Name': 0.5555555555555556, 'ltable_Style': 0.4444444444444444, 'ltable_ABV': 0.4583333333333333, 'rtable_Beer_Name': 0.31944444444444453, 'rtable_Brew_Factory_Name': 0.25, 'rtable_Style': 0.2222222222222222, 'rtable_ABV': 0.2222222222222222}",0.0,31.789442801993573,0.0,[0.9388221  0.06117798],1024-37,"{'ltable_Beer_Name': 0.6, 'ltable_Brew_Factory_Name': 0.1, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.1, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.6, 'ltable_Beer_Name/ltable_Style': 0.4, 'ltable_Beer_Name/ltable_ABV': 0.6, 'ltable_Brew_Factory_Name/ltable_Style': 0.4, 'ltable_Brew_Factory_Name/ltable_ABV': 0.6, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.2, 'rtable_Beer_Name/rtable_Style': 0.1, 'rtable_Beer_Name/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.2, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.3, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.6, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.3, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.3, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.2, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa
7,"{'ltable_Beer_Name': 0.47619047619047616, 'ltable_Brew_Factory_Name': 0.38095238095238093, 'ltable_Style': 0.38095238095238093, 'ltable_ABV': 0.3333333333333333, 'rtable_Beer_Name': 0.7619047619047619, 'rtable_Brew_Factory_Name': 0.5238095238095237, 'rtable_Style': 0.5, 'rtable_ABV': 0.47619047619047616}",1.0,31.151138582994463,1.0,[0.00144165 0.99855834],1780-685,"{'ltable_Beer_Name': 0.2, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.0, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.4, 'rtable_Beer_Name/rtable_Style': 0.3, 'rtable_Beer_Name/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.4, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.2, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.2, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.3, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.3, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa
8,"{'ltable_Beer_Name': 0.4722222222222223, 'ltable_Brew_Factory_Name': 0.3194444444444445, 'ltable_Style': 0.3055555555555556, 'ltable_ABV': 0.3194444444444444, 'rtable_Beer_Name': 0.6249999999999999, 'rtable_Brew_Factory_Name': 0.3472222222222222, 'rtable_Style': 0.3472222222222222, 'rtable_ABV': 0.3472222222222222}",0.0,32.053010357994935,1.0,[0.3058603 0.6941396],1479-1563,"{'ltable_Beer_Name': 0.2, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.5, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.4, 'ltable_Beer_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_ABV': 0.3, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.3, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.5, 'rtable_Beer_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.3, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.3, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.4, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.5, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa
9,"{'ltable_Beer_Name': 0.625, 'ltable_Brew_Factory_Name': 0.3472222222222222, 'ltable_Style': 0.3194444444444444, 'ltable_ABV': 0.3472222222222222, 'rtable_Beer_Name': 0.4861111111111112, 'rtable_Brew_Factory_Name': 0.3194444444444445, 'rtable_Style': 0.2916666666666667, 'rtable_ABV': 0.2777777777777778}",0.0,29.332665034002275,1.0,[0.02100886 0.97899115],2026-1679,"{'ltable_Beer_Name': 0.6, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.4, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_ABV': 0.5, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.4, 'rtable_Beer_Name/rtable_Style': 0.4, 'rtable_Beer_Name/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style': 0.1, 'rtable_Brew_Factory_Name/rtable_ABV': 0.1, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.4, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.6, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.4, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.4, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.3, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.2, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa
