,explanation,label,latency,match,prediction,row,type
0,"{'ltable_ABV': -1.896724766273521e-09, 'ltable_Beer_Name': 3.903302436004981e-10, 'ltable_Brew_Factory_Name': -5.366857912707993e-10, 'ltable_Style': 4.413685980738076e-10, 'rtable_ABV': -4.672908302185528e-10, 'rtable_Beer_Name': 2.0036659279723047e-09, 'rtable_Brew_Factory_Name': 3.4242876528163153e-10, 'rtable_Style': -1.87917960358572e-09}",0.0,26.263447670993628,0.0,[0.93501103 0.06498897],1219-2470,landmark
1,"{'ltable_ABV': 1.2326796929307476e-33, 'ltable_Beer_Name': 8.213247001499801e-33, 'ltable_Brew_Factory_Name': 1.194743602814483e-32, 'ltable_Style': 5.467221974236894e-33, 'rtable_ABV': -3.482542638223598e-33, 'rtable_Beer_Name': -2.4911236713476154e-34, 'rtable_Brew_Factory_Name': -8.450940464310639e-34, 'rtable_Style': 4.9754464927728304e-33}",0.0,25.715198431018507,0.0,[0.97788591 0.02211409],492-1635,landmark
2,"{'ltable_ABV': 1.889708595548798e-32, 'ltable_Beer_Name': -6.502583254923548e-32, 'ltable_Brew_Factory_Name': 1.6741250573162093e-31, 'ltable_Style': 5.223211942901967e-32, 'rtable_ABV': -9.430458379245944e-33, 'rtable_Beer_Name': -7.333629470072924e-32, 'rtable_Brew_Factory_Name': -2.1772782150267886e-32, 'rtable_Style': -2.3714342776164485e-32}",1.0,25.51929205202032,1.0,[0.20784307 0.79215693],3917-2224,landmark
3,"{'ltable_ABV': -7.687627268114763e-34, 'ltable_Beer_Name': 3.115872689851964e-33, 'ltable_Brew_Factory_Name': -1.327605635353026e-32, 'ltable_Style': 6.573732428996241e-33, 'rtable_ABV': 5.236551295626643e-34, 'rtable_Beer_Name': -1.0462943037737658e-32, 'rtable_Brew_Factory_Name': -4.582630824376612e-33, 'rtable_Style': 1.4937251148191668e-32}",0.0,25.107716734986752,0.0,[0.91747926 0.08252074],2155-2948,landmark
4,"{'ltable_ABV': 0.0, 'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'rtable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0}",1.0,23.78846051398432,0.0,[0.70367298 0.29632702],271-1410,landmark
5,"{'ltable_ABV': 6.567136899545579e-34, 'ltable_Beer_Name': -2.827610980789692e-33, 'ltable_Brew_Factory_Name': -3.358208862897398e-33, 'ltable_Style': 1.893865915452314e-33, 'rtable_ABV': 3.218752622564189e-34, 'rtable_Beer_Name': 1.253536067605485e-32, 'rtable_Brew_Factory_Name': 3.400376179936099e-33, 'rtable_Style': -1.1685149404844661e-32}",0.0,26.290154763992177,0.0,[0.94982569 0.05017431],3309-716,landmark
6,"{'ltable_ABV': 1.278039361980645e-32, 'ltable_Beer_Name': -3.4065589372809537e-32, 'ltable_Brew_Factory_Name': -6.458863554736665e-32, 'ltable_Style': 1.761080345872999e-31, 'rtable_ABV': 3.1743533414999573e-32, 'rtable_Beer_Name': -1.1735197893402654e-32, 'rtable_Brew_Factory_Name': -4.8003048565535287e-32, 'rtable_Style': -1.5143960764979429e-32}",0.0,24.4066047219967,0.0,[0.7053549 0.2946451],1024-37,landmark
7,"{'ltable_ABV': 0.0, 'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'rtable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0}",1.0,24.586895123007707,1.0,[0.40649319 0.59350681],1780-685,landmark
8,"{'ltable_ABV': 0.0, 'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'rtable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0}",0.0,28.35509442098555,0.0,[0.92754048 0.07245952],1479-1563,landmark
9,"{'ltable_ABV': 3.844338194148755e-33, 'ltable_Beer_Name': -2.673448483188832e-34, 'ltable_Brew_Factory_Name': -1.2287551510460113e-33, 'ltable_Style': 4.3628359856104525e-34, 'rtable_ABV': 5.006931806515253e-33, 'rtable_Beer_Name': -1.8077136324909168e-33, 'rtable_Brew_Factory_Name': -6.273722793613095e-33, 'rtable_Style': -8.685716363078927e-34}",0.0,31.338367338990793,0.0,[0.97938287 0.02061713],2026-1679,landmark
