,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
162,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Bounty Killer,Show Off Riddim,Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.5458498,0.4541502,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Album_Name')","['The High Fells ( Extended Version )', 'Howard Shore', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]']","['Garriosn Anthem', 'Bounty Killer', 'Show Off Riddim']",1@47894 0@5343 1@40847,3
163,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Bounty Killer,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"International , Caribbean & Cuba , Reggae",$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.5384427,0.4615573,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Genre')","['The High Fells ( Extended Version )', 'Howard Shore', 'Soundtracks']","['Garriosn Anthem', 'Bounty Killer', 'International , Caribbean & Cuba , Reggae']",1@47894 0@5343 1@40847,3
170,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,Show Off Riddim,Soundtracks,$ 1.29,2007 TJ Records,3:38,"December 10 , 2013",0.5347432,0.46525684,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_CopyRight')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.']","['Garriosn Anthem', 'Show Off Riddim', '2007 TJ Records']",1@47894 0@5343 1@40847,3
164,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Bounty Killer,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.5368535,0.4631465,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Price')","['The High Fells ( Extended Version )', 'Howard Shore', '$ 1.29']","['Garriosn Anthem', 'Bounty Killer', '$ 0.99']",1@47894 0@5343 1@40847,3
165,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Bounty Killer,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2007 TJ Records,3:38,"December 10 , 2013",0.5366635,0.4633366,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_CopyRight')","['The High Fells ( Extended Version )', 'Howard Shore', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.']","['Garriosn Anthem', 'Bounty Killer', '2007 TJ Records']",1@47894 0@5343 1@40847,3
166,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Bounty Killer,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:12,"December 10 , 2013",0.53685254,0.4631475,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Time')","['The High Fells ( Extended Version )', 'Howard Shore', '3:38']","['Garriosn Anthem', 'Bounty Killer', '3:12']",1@47894 0@5343 1@40847,3
167,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Bounty Killer,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"February 15 , 2012",0.5368117,0.46318835,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Released')","['The High Fells ( Extended Version )', 'Howard Shore', 'December 10 , 2013']","['Garriosn Anthem', 'Bounty Killer', 'February 15 , 2012']",1@47894 0@5343 1@40847,3
168,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,Show Off Riddim,"International , Caribbean & Cuba , Reggae",$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.534771,0.465229,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Genre')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', 'Soundtracks']","['Garriosn Anthem', 'Show Off Riddim', 'International , Caribbean & Cuba , Reggae']",1@47894 0@5343 1@40847,3
169,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,Show Off Riddim,Soundtracks,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.5346511,0.46534887,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Price')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', '$ 1.29']","['Garriosn Anthem', 'Show Off Riddim', '$ 0.99']",1@47894 0@5343 1@40847,3
175,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"International , Caribbean & Cuba , Reggae",$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:12,"December 10 , 2013",0.5316589,0.4683411,"('rtable_Song_Name', 'rtable_Genre', 'rtable_Time')","['The High Fells ( Extended Version )', 'Soundtracks', '3:38']","['Garriosn Anthem', 'International , Caribbean & Cuba , Reggae', '3:12']",1@47894 0@5343 1@40847,3
