,explanation,type,latency,match,label,row,prediction
0,"{'ltable_Album_Name': 0.09357639201577954, 'ltable_Artist_Name': -0.033664569072106534, 'ltable_CopyRight': 0.11798407152466009, 'ltable_Genre': 0.05477787004005792, 'ltable_Price': -0.07868956623628885, 'ltable_Released': -0.010584714667642253, 'ltable_Song_Name': 0.7582652184974392, 'ltable_Time': -0.03784205301904385, 'rtable_Album_Name': -0.04923794654361778, 'rtable_Artist_Name': 0.03903617697159741, 'rtable_CopyRight': -0.03411432665496077, 'rtable_Genre': -0.06572949650302227, 'rtable_Price': 0.13637995870978403, 'rtable_Released': 0.010147122812164544, 'rtable_Song_Name': 0.6422930594257645, 'rtable_Time': 0.002274147249366601}",landmark,4.279416847999997,1.0,0.0,3505-30346,[0.00267493 0.99732506]
1,"{'ltable_Album_Name': 0.06672097672210982, 'ltable_Artist_Name': -0.012095668110682935, 'ltable_CopyRight': -0.03480691383399439, 'ltable_Genre': -0.04236890659917046, 'ltable_Price': -0.0010679040832215795, 'ltable_Released': 0.008956191935449423, 'ltable_Song_Name': 0.08559812728885179, 'ltable_Time': 0.018112096409435896, 'rtable_Album_Name': 0.027027027159688206, 'rtable_Artist_Name': 0.02606249278077989, 'rtable_CopyRight': -0.01427106337714871, 'rtable_Genre': -0.0036926237992167335, 'rtable_Price': -0.0030479835485518842, 'rtable_Released': 0.02693056447123148, 'rtable_Song_Name': 0.187882224427922, 'rtable_Time': 0.025726432752742494}",landmark,4.735687555999988,1.0,0.0,5343-47894,[5.6669314e-04 9.9943334e-01]
2,"{'ltable_Album_Name': 0.01061056890381562, 'ltable_Artist_Name': -0.08289909794420373, 'ltable_CopyRight': 0.007133191756888996, 'ltable_Genre': 0.020863747003316214, 'ltable_Price': -0.030831806396217798, 'ltable_Released': -0.016038341810719267, 'ltable_Song_Name': 0.3927119189985871, 'ltable_Time': -0.017964193021762657, 'rtable_Album_Name': 0.0675134970939391, 'rtable_Artist_Name': -0.06125266332924044, 'rtable_CopyRight': -0.02044424490906163, 'rtable_Genre': -0.04669691309101536, 'rtable_Price': -0.00038192499484755943, 'rtable_Released': 0.0027822561319589094, 'rtable_Song_Name': 0.30525743610094896, 'rtable_Time': 0.0021806824315432046}",landmark,2.743863504000018,1.0,1.0,3354-17643,[8.562212e-04 9.991437e-01]
3,"{'ltable_Album_Name': 0.004142655802391414, 'ltable_Artist_Name': -0.08704279865008432, 'ltable_CopyRight': -0.042696877049033646, 'ltable_Genre': 0.01877300401970528, 'ltable_Price': -0.03750932671604691, 'ltable_Released': 0.003122579622276493, 'ltable_Song_Name': 0.4236513605629495, 'ltable_Time': -0.04739138929986953, 'rtable_Album_Name': -0.004963156312327142, 'rtable_Artist_Name': -0.01628082571171121, 'rtable_CopyRight': 0.036925909611671304, 'rtable_Genre': 0.020035901771546058, 'rtable_Price': -0.026751008108835343, 'rtable_Released': 0.031118298773575293, 'rtable_Song_Name': 0.5209003111773244, 'rtable_Time': 0.0028228272018787047}",landmark,3.8514925819999917,1.0,0.0,1268-34910,[0.01062789 0.9893721 ]
4,"{'ltable_Album_Name': 0.04093517831899256, 'ltable_Artist_Name': -0.056261216719279514, 'ltable_CopyRight': -0.014475470778392324, 'ltable_Genre': -0.0017315946502702508, 'ltable_Price': -0.05999965821861504, 'ltable_Released': 0.0046228183819388285, 'ltable_Song_Name': 0.10658650481779909, 'ltable_Time': -0.027949654874940548, 'rtable_Album_Name': 0.12114647821404836, 'rtable_Artist_Name': 0.06854849487317495, 'rtable_CopyRight': -0.10957113758690273, 'rtable_Genre': 0.07370827899808403, 'rtable_Price': 0.0065315579449075145, 'rtable_Released': -0.07812844703361391, 'rtable_Song_Name': -0.838051749821229, 'rtable_Time': -0.00540446779423979}",landmark,5.251916817999984,0.0,0.0,1176-34919,[0.88902396 0.11097607]
5,"{'ltable_Album_Name': -0.08047787717526059, 'ltable_Artist_Name': 0.030708478212183685, 'ltable_CopyRight': 0.3491618767492152, 'ltable_Genre': 0.16253029013592585, 'ltable_Price': -0.030165863167999164, 'ltable_Released': -0.012917449861459035, 'ltable_Song_Name': 0.026756048398723038, 'ltable_Time': -0.03426303985281195, 'rtable_Album_Name': 0.04918283273004314, 'rtable_Artist_Name': 0.012360582523013234, 'rtable_CopyRight': -0.03238793706735809, 'rtable_Genre': 0.07776421425299902, 'rtable_Price': -0.010583728292857935, 'rtable_Released': -0.02146517953269637, 'rtable_Song_Name': -0.6306982021131186, 'rtable_Time': -0.011982035341809333}",landmark,5.044509919999996,1.0,0.0,1156-28014,[0.27513328 0.72486675]
6,"{'ltable_Album_Name': 0.10097478060327109, 'ltable_Artist_Name': 0.01460996041822556, 'ltable_CopyRight': -0.009844850506914814, 'ltable_Genre': -9.220002246027964e-05, 'ltable_Price': -0.031632676475093054, 'ltable_Released': 0.03429138980435403, 'ltable_Song_Name': 0.3536426522595371, 'ltable_Time': 0.005682563182536484, 'rtable_Album_Name': 0.06541097949431741, 'rtable_Artist_Name': 0.02143772932662292, 'rtable_CopyRight': 0.11962361556489028, 'rtable_Genre': 0.023138446428700638, 'rtable_Price': -0.004786343062141292, 'rtable_Released': -0.02980883973399304, 'rtable_Song_Name': 0.02687155641686902, 'rtable_Time': -0.0233115946944173}",landmark,3.260763391000012,1.0,0.0,2718-17189,[0.00179556 0.99820447]
7,"{'ltable_Album_Name': -0.06665411642332486, 'ltable_Artist_Name': 0.034460009942198666, 'ltable_CopyRight': 0.2554500940875159, 'ltable_Genre': -0.13431836191404262, 'ltable_Price': -0.0651962832974508, 'ltable_Released': 0.0211240853935014, 'ltable_Song_Name': 0.08244144817520495, 'ltable_Time': 0.0719823329142978, 'rtable_Album_Name': -0.10232555206621294, 'rtable_Artist_Name': 0.03751266133170638, 'rtable_CopyRight': -0.12314726375957571, 'rtable_Genre': -0.015072199736949805, 'rtable_Price': -0.024747282974114174, 'rtable_Released': -0.018911681888667445, 'rtable_Song_Name': 0.07922652286809448, 'rtable_Time': 0.06398870653378522}",landmark,4.803518009000015,1.0,0.0,1164-28001,[0.15176083 0.8482392 ]
8,"{'ltable_Album_Name': -0.012752851265336346, 'ltable_Artist_Name': 0.07937704438830476, 'ltable_CopyRight': 0.04715920761231007, 'ltable_Genre': 0.08740122398893059, 'ltable_Price': 0.006216614269178401, 'ltable_Released': 0.021840928716741488, 'ltable_Song_Name': 0.17994651835645006, 'ltable_Time': 0.036241564544110816, 'rtable_Album_Name': 0.02486434530094919, 'rtable_Artist_Name': 0.17752785121317113, 'rtable_CopyRight': 0.027887579218777964, 'rtable_Genre': -0.033890658453953115, 'rtable_Price': 0.04096314299491031, 'rtable_Released': 0.05006182174083118, 'rtable_Song_Name': -0.6212435776212704, 'rtable_Time': 0.016337970814668226}",landmark,3.130781484999943,1.0,0.0,271-53030,[0.21067213 0.78932786]
9,"{'ltable_Album_Name': 0.00135222117122746, 'ltable_Artist_Name': 0.03360831723168116, 'ltable_CopyRight': 0.10113901602943423, 'ltable_Genre': 0.10130648242536495, 'ltable_Price': -0.03508650576648481, 'ltable_Released': 0.02183507207663051, 'ltable_Song_Name': -0.4257118353927455, 'ltable_Time': -0.016919637404944406, 'rtable_Album_Name': -0.07913253160532638, 'rtable_Artist_Name': -0.038121706494678484, 'rtable_CopyRight': -0.13066691524195673, 'rtable_Genre': 0.009708363860649665, 'rtable_Price': -0.04016137669199721, 'rtable_Released': 0.04499893213859932, 'rtable_Song_Name': 0.8375337493575304, 'rtable_Time': 0.033110017162792396}",landmark,3.843997828000056,1.0,0.0,796-33113,[0.05036369 0.94963634]
