,explanation,type,latency,match,label,row,prediction
0,"{'ltable_Song_Name': 0.32392774605716096, 'ltable_Artist_Name': 0.15351808162231467, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,3.4538427579999933,1.0,0.0,3505-30346,[0.00267493 0.99732506]
1,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.01845930219860692, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.24710697885020694, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': -0.002348422385985649, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.22540580686531075, 'rtable_Released': 0.0}",shap,3.3888051060000066,1.0,0.0,5343-47894,[5.6669314e-04 9.9943334e-01]
2,"{'ltable_Song_Name': 0.31276662332180405, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.044025214970694115, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.07906866319221428, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,2.9546810329999857,1.0,1.0,3354-17643,[8.562212e-04 9.991437e-01]
3,"{'ltable_Song_Name': 0.11614259018591837, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': -0.3524332370204503, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,3.1958499730000085,1.0,0.0,1268-34910,[0.01062789 0.9893721 ]
4,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.1774611389788534, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': -0.4288535818922262, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.11919999687687555, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,3.2986392189999947,0.0,0.0,1176-34919,[0.88902396 0.11097607]
5,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': -0.2765935740408896, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.11239391059716575}",shap,3.442656377999981,1.0,0.0,1156-28014,[0.27513328 0.72486675]
6,"{'ltable_Song_Name': 0.15177332253311748, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.3381662347377278, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,3.154972034000025,1.0,0.0,2718-17189,[0.00179556 0.99820447]
7,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.10122514462263392, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': -0.30612563113497654, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,3.3250209619999396,1.0,0.0,1164-28001,[0.15176083 0.8482392 ]
8,"{'ltable_Song_Name': 0.07156537845265165, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.1141421839373648, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.10657033274648706, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.11527272466104466, 'rtable_Released': 0.0}",shap,3.534210622000046,1.0,0.0,271-53030,[0.21067213 0.78932786]
9,"{'ltable_Song_Name': -0.13836371149553459, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.15061930737493087, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,3.3869384630000923,1.0,0.0,796-33113,[0.05036369 0.94963634]
