,label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,Tempest,Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.29468441009521484,0.7053155899047852,"('ltable_Song_Name',)",['As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ]'],['Tempest'],0@796 1@33113 0@3500,2
99,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Flo Rida,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2007 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.028592493385076523,0.9714075066149235,"('ltable_Artist_Name', 'ltable_CopyRight')","['Justin Bieber', '2012 The Island Def Jam Music Group']","['Flo Rida', '2007 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States']",0@796 1@33113 0@3498,2
80,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Alan Jackson,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.01523186732083559,0.9847681326791644,"('ltable_Artist_Name', 'ltable_CopyRight')","['Justin Bieber', '2012 The Island Def Jam Music Group']","['Alan Jackson', 'Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .']",0@796 1@33113 0@2047,2
135,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Deftones,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,This compilation 2015 Universal Studios and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.036203447729349136,0.9637965522706509,"('ltable_Artist_Name', 'ltable_CopyRight')","['Justin Bieber', '2012 The Island Def Jam Music Group']","['Deftones', 'This compilation 2015 Universal Studios and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .']",0@796 1@33113 0@1186,2
21,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,Furious 7 ( Original Motion Picture Soundtrack ) [ Deluxe Version ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.0037750634364783764,0.9962249365635216,"('ltable_Album_Name',)",['As Long As You Love Me ( Remixes ) [ feat . Big Sean ]'],['Furious 7 ( Original Motion Picture Soundtrack ) [ Deluxe Version ]'],0@796 1@33113 0@1186,2
18,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,NOW That 's What I Call Country Ballads,"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.006247275043278933,0.9937527249567211,"('ltable_Album_Name',)",['As Long As You Love Me ( Remixes ) [ feat . Big Sean ]'],"[""NOW That 's What I Call Country Ballads""]",0@796 1@33113 0@1001,2
6,,Producer Commentary ( Bonus ),Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.011169981211423874,0.9888300187885761,"('ltable_Song_Name',)",['As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ]'],['Producer Commentary ( Bonus )'],0@796 1@33113 0@901,2
8,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,Soul Movement Vol . I,"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.00488705188035965,0.9951129481196404,"('ltable_Album_Name',)",['As Long As You Love Me ( Remixes ) [ feat . Big Sean ]'],['Soul Movement Vol . I'],0@796 1@33113 0@901,2
13,,Birthday,Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.4002082049846649,0.5997917950153351,"('ltable_Song_Name',)",['As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ]'],['Birthday'],0@796 1@33113 0@3498,2
14,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,Birthday - Single,"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.005101366434246302,0.9948986335657537,"('ltable_Album_Name',)",['As Long As You Love Me ( Remixes ) [ feat . Big Sean ]'],['Birthday - Single'],0@796 1@33113 0@3498,2
16,,Remember When,Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.04581322893500328,0.9541867710649967,"('ltable_Song_Name',)",['As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ]'],['Remember When'],0@796 1@33113 0@1001,2
64,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Slakah the Beatchild,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2008 BBE,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.0708349347114563,0.9291650652885437,"('ltable_Artist_Name', 'ltable_CopyRight')","['Justin Bieber', '2012 The Island Def Jam Music Group']","['Slakah the Beatchild', '2008 BBE']",0@796 1@33113 0@901,2
