,explanation,type,latency,match,label,row,prediction
0,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,17.910322130000168,0.0,0.0,3505-30346,[0.99449705 0.00550295]
1,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.441209067999807,0.0,0.0,5343-47894,[0.8704695 0.1295305]
2,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.037253405999763,1.0,1.0,3354-17643,[0.00406516 0.99593484]
3,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.09138006899957,0.0,0.0,1268-34910,[0.99835837 0.00164163]
4,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.13079401700088,0.0,0.0,1176-34919,[0.99702948 0.00297052]
5,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.12088062299881,0.0,0.0,1156-28014,[0.9960263 0.0039737]
6,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.214811331999954,0.0,0.0,2718-17189,[0.95029187 0.04970813]
7,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.561388750000333,0.0,0.0,1164-28001,[0.99500712 0.00499288]
8,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,18.03899210700183,0.0,0.0,271-53030,[0.99342624 0.00657376]
9,"{'ltable_Song_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_Album_Name': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Time': 0.0, 'ltable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Time': 0.0, 'rtable_Released': 0.0}",shap,21.153455609004595,1.0,0.0,796-33113,[0.0314436 0.9685564]
